date,ea_m2_eur_mi
2023-02-28,15222184
2023-03-31,15178734
2023-04-30,15120271
2023-05-31,15105451
2023-06-30,15086706
2023-07-31,15063603
2023-08-31,15038755
2023-09-30,15062795
2023-10-31,15039414
2023-11-30,15036237
2023-12-31,15111993
2024-01-31,15083328
2024-02-29,15103809
2024-03-31,15118968
2024-04-30,15142798
2024-05-31,15179106
2024-06-30,15283438
2024-07-31,15257981
2024-08-31,15328063
2024-09-30,15400882
2024-10-31,15430200
2024-11-30,15530867
2024-12-31,15603787
2025-01-31,15581930
2025-02-28,15622800
2025-03-31,15658278
2025-04-30,15688716
2025-05-31,15723268
2025-06-30,15722965
2025-07-31,15736526
2025-08-31,15754917
2025-09-30,15788703
2025-10-31,15900932
2025-11-30,16024579
2025-12-31,16077211
2026-01-31,16203232
2026-02-28,16244995
2026-03-31,16282533
2026-04-30,16288727
2026-05-31,16381796
