date,uk_m4_gbp_mi
2023-06-30,3035223
2023-07-31,3011010
2023-08-31,3013536
2023-09-30,2985668
2023-10-31,2990646
2023-11-30,3001301
2023-12-31,3011559
2024-01-31,2984195
2024-02-29,3004199
2024-03-31,3042590
2024-04-30,3038159
2024-05-31,3043197
2024-06-30,3061697
2024-07-31,3070316
2024-08-31,3061330
2024-09-30,3084007
2024-10-31,3083792
2024-11-30,3096852
2024-12-31,3090269
2025-01-31,3117313
2025-02-28,3127350
2025-03-31,3140616
2025-04-30,3135912
2025-05-31,3150052
2025-06-30,3156624
2025-07-31,3160987
2025-08-31,3164777
2025-09-30,3190943
2025-10-31,3190727
2025-11-30,3223763
2025-12-31,3231619
2026-01-31,3210159
2026-02-28,3238755
2026-03-31,3277609
2026-04-30,3274695
2026-05-31,3283883
2026-06-30,3313414
2026-07-31,3302403
